Lv,Type,Count,Item1,Prob1,Item2,Prob2,Item3,Prob3
1,1,0,22,50,165,50,0,0
2,1,3,28,45,163,45,87,10
3,1,6,15,50,14,50,0,0
4,1,9,8,50,102,50,0,0
5,1,12,13,35,120,35,112,30
6,1,15,223,35,177,35,201,30
7,1,18,18,35,103,35,122,30
8,1,21,20,45,197,45,45,10
9,1,24,59,45,268,45,125,10
10,1,27,331,35,353,35,314,30
11,1,30,160,50,161,50,0,0
12,1,33,107,50,108,50,0,0
13,1,36,284,45,5,45,111,10
14,1,39,90,70,0,0,192,30
15,1,41,121,50,186,50,0,0
16,1,44,30,45,19,45,285,10
17,1,47,12,50,38,50,0,0
18,1,50,66,45,119,45,208,10
19,1,53,283,45,78,45,235,10
20,1,56,259,70,0,0,193,30
21,1,59,26,50,162,50,0,0
22,1,62,16,50,84,50,0,0
23,1,65,133,50,275,50,0,0
24,0,67,17,100,0,0,0,0
