 ,id,team,inven_sortingindex,name,level,sortorder,"ad type
1=new
2=hot
3=new+hot
4=event
5=event+new
6=event+hot
7=event+hot+new",ImageName,"main product
0=첫번째
1
2
3","BuyerType
0=개인
1=클랜
공백=값을 사용 안함 (값이 있을경우 최우선적용,item.csv에 없는 아이템일경우  값기입필수)",사용,FabExtraItemID(제조비법있는 상품일경우),shop type
90051,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90050,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90049,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90048,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90047,,,,wechatCoupon3,,,,ChnCouponbox,,,,,
90046,,,,wechatCoupon2,,,,ChnCouponbox,,,,,
90045,,,,wechatCoupon1,,,,ChnCouponbox,,,,,
90044,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90043,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90042,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90041,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90040,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90039,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90038,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90037,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90036,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90035,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90034,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90033,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90032,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90031,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90030,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90029,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90028,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90027,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90026,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90025,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90024,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90023,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90022,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90021,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90020,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90019,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90018,,,,ChnCoupon,,,,ChnCouponbox,,,,,
