index,imagename,imageURL,clickURL
0,shop_promotion_01.jpg,http://cso.dn.nexoncdn.co.kr/promotion/shop_promotion_01.html,
1,shop_promotion_02.jpg,http://cso.dn.nexoncdn.co.kr/promotion/shop_promotion_02.html,https://card.nexon.com/apply?eventCode=NXN5Q&utm_source=pcgame&utm_medium=pc5csonline&utm_campaign=nxhd2022&utm_term=none&utm_content=common_banner6
2,shop_promotion_03.jpg,http://cso.dn.nexoncdn.co.kr/promotion/shop_promotion_03.html,
3,shop_promotion_04.jpg,http://cso.dn.nexoncdn.co.kr/promotion/shop_promotion_04.html,
4,shop_promotion_05.jpg,http://cso.dn.nexoncdn.co.kr/promotion/shop_promotion_05.html,
5,shop_promotion_06.jpg,http://cso.dn.nexoncdn.co.kr/promotion/shop_promotion_06.html,
6,shop_promotion_07.jpg,http://cso.dn.nexoncdn.co.kr/promotion/shop_promotion_07.html,
7,01.webm,http://cso.dn.nexoncdn.co.kr/promotion/01.webm,
8,02.webm,http://cso.dn.nexoncdn.co.kr/promotion/02.webm,
9,03.webm,http://cso.dn.nexoncdn.co.kr/promotion/03.webm,
10,04.webm,http://cso.dn.nexoncdn.co.kr/promotion/04.webm,
