시도카운터,시도
1,Armenien
2,Australien
3,Österreich
4,Aserbaidschan
5,Weißrussland
6,Belgien
7,Bosnien und Herzegowina
8,Bulgarien
9,Kanada
10,Kroatien
11,Zypern
12,Tschechische Republik
13,Dänemark
14,Estland
15,Finnland
16,Frankreich
17,Georgien
18,Deutschland
19,Griechenland
20,Ungarn
21,Island
22,Irland
23,Italien
24,Kasachstan
25,Kirgisistan
26,Lettland
27,Liechtenstein
28,Litauen
29,Luxemburg
30,Malta
31,Mexiko
32,Moldawien
33,Niederlande
34,Neuseeland
35,Norwegen
36,Polen
37,Portugal
38,Rumänien
39,Russland
40,Serbien
41,Slowakei
42,Slowenien
43,Spanien
44,Schweden
45,Schweiz
46,Tadschikistan
47,Ukraine
48,Großbritannien
49,Vereinigte Staaten
50,Usbekistan
