시도카운터,시도
1,Armenia
2,Australia
3,Austria
4,Azerbaijan
5,Belarus
6,Belgium
7,Bosnia and Herzegovina
8,Bulgaria
9,Canada
10,Croatia
11,Cyprus
12,Czech Republic
13,Denmark
14,Estonia
15,Finland
16,France
17,Georgia
18,Germany
19,Greece
20,Hungary
21,Iceland
22,Ireland
23,Italy
24,Kazakhstan
25,Kyrgyzstan
26,Latvia
27,Liechtenstein
28,Lithuania
29,Luxembourg
30,Malta
31,Mexico
32,Moldova
33,Netherlands
34,New Zealand
35,Norway
36,Poland
37,Portugal
38,Romania
39,Russia
40,Serbia
41,Slovakia
42,Slovenia
43,Spain
44,Sweden
45,Switzerland
46,Tajikistan
47,Ukraine
48,United Kingdom
49,United States
50,Uzbekistan
51,Indonesia
