시도카운터,시도
1,Arménie
2,Australie
3,Autriche
4,Azerbaïdjan
5,Bélarus
6,Belgique
7,Bosnie-Herzégovine
8,Bulgarie
9,Canada
10,Croatie
11,Chypre
12,République tchèque
13,Danemark
14,Estonie
15,Finlande
16,France
17,Géorgie
18,Allemagne
19,Grèce
20,Hongrie
21,Islande
22,Irlande
23,Italie
24,Kazakhstan
25,Kirghizistan
26,Lettonie
27,Liechtenstein
28,Lituanie
29,Luxembourg
30,Malte
31,Mexique
32,Moldavie
33,Pays-Bas
34,Nouvelle-Zélande
35,Norvège
36,Pologne
37,Portugal
38,Roumanie
39,Russie
40,Serbie
41,Slovaquie
42,Slovénie
43,Espagne
44,Suède
45,Suisse
46,Tadjikistan
47,Ukraine
48,Royaume-Uni
49,États-Unis
50,Ouzbékistan
