시도카운터,시도
1,Armenia
2,Australia
3,Austria
4,Azerbaijan
5,Bielorussia
6,Belgio
7,Bosnia-Erzegovina
8,Bulgaria
9,Canada
10,Croazia
11,Cipro
12,Repubblica Ceca
13,Danimarca
14,Estonia
15,Finlandia
16,Francia
17,Georgia
18,Germania
19,Grecia
20,Ungheria
21,Islanda
22,Irlanda
23,Italia
24,Kazakistan
25,Kirghizistan
26,Lettonia
27,Liechtenstein
28,Lituania
29,Lussemburgo
30,Malta
31,Messico
32,Moldova
33,Olanda
34,Nuova Zelanda
35,Norvegia
36,Polonia
37,Portogallo
38,Romania
39,Russia
40,Serbia
41,Slovacchia
42,Slovenia
43,Spagna
44,Svezia
45,Svizzera
46,Tagikistan
47,Ucraina
48,Regno Unito
49,Stati Uniti
50,Uzbekistan
