시도카운터,시도
1,Armenia
2,Australia
3,Austria
4,Azerbejdżan
5,Białoruś
6,Belgia
7,Bośnia i Hercegowina
8,Bułgaria
9,Kanada
10,Chorwacja
11,Cypr
12,Czechy
13,Dania
14,Estonia
15,Finlandia
16,Francja
17,Gruzja
18,Niemcy
19,Grecja
20,Węgry
21,Islandia
22,Irlandia
23,Włochy
24,Kazachstan
25,Kirgistan
26,Łotwa
27,Liechtenstein
28,Litwa
29,Luksemburg
30,Malta
31,Meksyk
32,Mołdawia
33,Holandia
34,Nowa Zelandia
35,Norwegia
36,Polska
37,Portugalia
38,Rumunia
39,Rosja
40,Serbia
41,Słowacja
42,Słowenia
43,Hiszpania
44,Szwecja
45,Szwajcaria
46,Tadżykistan
47,Ukraina
48,Wielka Brytania
49,Stany Zjednoczone
50,Uzbekistan
