시도카운터,시도
1,Армения
2,Австралия
3,Австрия
4,Азербайджан
5,Беларусь
6,Бельгия
7,Босния и Герцеговина
8,Болгария
9,Канада
10,Хорватия
11,Кипр
12,Чехия
13,Дания
14,Эстония
15,Финляндия
16,Франция
17,Грузия
18,Германия
19,Греция
20,Венгрия
21,Исландия
22,Ирландия
23,Италия
24,Казахстан
25,Кыргызстан
26,Латвия
27,Лихтенштейн
28,Литва
29,Люксембург
30,Мальта
31,Мексика
32,Молдова
33,Нидерланды
34,Новая Зеландия
35,Норвегия
36,Польша
37,Португалия
38,Румыния
39,Россия
40,Сербия
41,Словакия
42,Словения
43,Испания
44,Швеция
45,Швейцария
46,Таджикистан
47,Украина
48,Великобритания
49,США
50,Узбекистан
51,Индонезия
