시도카운터,시도
1,Ermenistan
2,Avustralya
3,Avusturya
4,Azerbaycan
5,Beyaz Rusya
6,Belçika
7,Bosna-Hersek
8,Bulgaristan
9,Kanada
10,Hırvatistan
11,Kıbrıs
12,Çek Cumhuriyeti
13,Danimarka
14,Estonya
15,Finlandiya
16,Fransa
17,Gürcistan
18,Almanya
19,Yunanistan
20,Macaristan
21,İzlanda
22,İrlanda
23,İtalya
24,Kazakistan
25,Kırgızistan
26,Letonya
27,Lihtenştayn
28,Litvanya
29,Lüksemburg
30,Malta
31,Meksika
32,Moldova
33,Hollanda
34,Yeni Zelanda
35,Norveç
36,Polonya
37,Portekiz
38,Romanya
39,Rusya
40,Sırbistan
41,Slovakya
42,Slovenya
43,İspanya
44,İsveç
45,İsviçre
46,Tacikistan
47,Ukrayna
48,Birleşik Krallık
49,Birleşik Devletler
50,Özbekistan
51,Endonezya
